SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
0.011,0.018,-0.019
0.008,-0.031,0.069
-0.051,-0.042,0.024
-0.009,0.004,0.006
-0.007,-0.012,0.025
-0.006,0.038,-0.057
-0.029,0.020,-0.033
-0.054,-0.038,0.014
0.015,-0.001,0.025
0.034,-0.016,0.040
0.046,0.004,-0.013
0.046,0.046,-0.059
0.017,0.019,-0.103
-0.006,-0.009,-0.083
-0.050,-0.008,0.021
0.004,0.050,0.019
0.040,0.048,-0.043
-0.032,-0.008,-0.016
-0.034,-0.032,0.069
0.000,-0.041,0.064
-0.001,-0.012,0.005
-0.005,-0.017,0.010
0.001,-0.007,-0.007
0.001,0.035,-0.006
-0.028,0.004,0.027
0.000,0.004,-0.005
0.040,0.020,0.009
-0.011,-0.014,0.052
-0.001,-0.005,0.046
0.035,0.008,0.060
0.000,-0.016,0.041
0.005,-0.038,-0.020
0.032,-0.017,-0.065
0.013,0.013,-0.069
-0.024,-0.014,-0.058
-0.038,-0.021,-0.122
-0.034,0.008,-0.158
0.005,0.029,0.032
0.026,0.048,0.208
0.011,0.036,0.092
0.046,0.030,-0.062
0.009,-0.010,-0.090
-0.062,-0.070,-0.121
-0.002,-0.025,-0.064
0.002,0.009,0.108
-0.010,0.004,0.089
0.042,0.039,-0.032
-0.011,0.025,0.027
-0.010,-0.028,0.038
0.050,-0.034,0.046
-0.018,-0.035,0.087
-0.049,-0.053,0.003
-0.040,-0.022,0.015
-0.030,0.034,-0.015
-0.002,0.038,-0.076
-0.003,0.020,-0.006
0.037,0.016,-0.014
0.038,-0.004,0.011
-0.001,-0.010,0.049
0.035,0.001,-0.011
0.052,0.002,-0.091
0.009,-0.017,-0.183
-0.020,-0.035,-0.126
-0.025,0.016,0.030
-0.036,0.067,0.072
-0.042,0.035,0.024
0.001,-0.003,0.030
0.017,-0.028,0.134
-0.021,-0.065,0.111
0.008,-0.063,0.006
0.036,-0.013,-0.017
-0.009,0.023,-0.050
-0.025,0.025,0.008
-0.004,0.011,0.076
0.034,0.017,0.034
0.006,-0.011,0.032
-0.040,-0.036,-0.025
-0.004,0.015,-0.086
0.015,0.020,-0.054
0.047,0.006,-0.033
0.060,0.019,0.003
0.001,0.009,0.038
-0.014,0.023,0.022
-0.024,0.019,-0.065
-0.021,0.013,-0.092
0.012,0.005,0.060
-0.039,-0.033,0.118
-0.048,-0.038,0.011
0.030,-0.013,0.026
0.012,0.013,0.050
0.000,0.000,-0.068
0.051,-0.003,-0.065
0.002,0.018,0.039
-0.033,0.001,-0.012
0.014,0.009,-0.050
-0.015,0.011,-0.012
-0.026,-0.011,-0.025
0.002,-0.012,0.045
-0.034,-0.024,0.079
-0.008,-0.017,-0.007
0.028,0.000,-0.030
-0.002,0.020,-0.064
-0.013,0.029,-0.044
-0.014,0.003,0.005
0.028,-0.011,-0.034
0.047,-0.022,0.018
-0.004,-0.007,0.065
0.017,0.023,0.006
0.036,0.043,-0.034
