SITE CODE= 41213íﬂâ™ésînèÍí¨
 LAT.=   38.7271
 LON.=  139.8274
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2019 06 18 22 22 10
 NS,EW,UD
-0.004,-0.014,-0.007
0.004,-0.015,-0.013
0.009,-0.003,-0.009
0.006,0.011,-0.000
-0.003,0.018,0.005
-0.010,0.007,0.003
-0.007,-0.010,-0.001
0.002,-0.019,-0.002
0.011,-0.011,0.003
0.009,0.006,0.009
0.001,0.019,0.011
-0.004,0.016,0.005
-0.004,0.000,-0.002
0.002,-0.014,-0.008
0.006,-0.014,-0.010
0.004,-0.000,-0.007
-0.000,0.014,-0.002
-0.001,0.017,0.004
0.001,0.004,0.009
0.005,-0.011,0.007
0.003,-0.016,-0.000
-0.004,-0.004,-0.006
-0.011,0.012,-0.008
-0.012,0.021,-0.002
-0.005,0.012,0.008
0.005,-0.006,0.015
0.013,-0.020,0.014
0.014,-0.018,0.006
0.007,-0.004,-0.004
-0.003,0.010,-0.014
-0.012,0.014,-0.020
-0.014,0.004,-0.018
-0.009,-0.009,-0.008
0.000,-0.014,0.005
0.009,-0.007,0.016
0.009,0.006,0.017
0.002,0.013,0.006
-0.006,0.008,-0.008
-0.007,-0.005,-0.016
-0.002,-0.013,-0.014
0.002,-0.010,-0.004
0.002,0.003,0.004
-0.000,0.014,0.007
-0.003,0.012,0.004
0.000,0.000,-0.002
0.006,-0.013,-0.005
0.008,-0.015,-0.004
0.004,-0.004,-0.001
-0.003,0.008,0.001
-0.006,0.012,0.002
-0.003,0.002,0.003
0.002,-0.012,0.003
0.005,-0.017,0.003
0.003,-0.007,0.000
-0.002,0.011,-0.004
-0.006,0.022,-0.009
-0.006,0.016,-0.010
-0.003,-0.000,-0.005
0.001,-0.017,0.001
0.005,-0.020,0.009
0.004,-0.007,0.014
0.001,0.008,0.014
-0.003,0.014,0.004
-0.005,0.007,-0.013
-0.004,-0.004,-0.029
-0.002,-0.008,-0.032
0.002,0.000,-0.014
0.005,0.012,0.016
0.006,0.014,0.038
0.003,0.000,0.035
-0.002,-0.020,0.006
-0.007,-0.029,-0.025
-0.007,-0.016,-0.038
-0.003,0.010,-0.024
0.000,0.030,0.000
0.001,0.028,0.016
0.000,0.005,0.014
-0.000,-0.020,0.001
0.002,-0.028,-0.004
0.005,-0.014,0.000
0.003,0.008,0.010
-0.003,0.022,0.009
-0.009,0.016,-0.005
-0.009,0.000,-0.022
-0.002,-0.010,-0.022
0.005,-0.006,0.002
0.007,0.005,0.034
0.003,0.011,0.046
-0.003,0.002,0.026
-0.006,-0.016,-0.014
-0.005,-0.027,-0.045
-0.000,-0.017,-0.041
0.003,0.009,-0.004
0.005,0.032,0.035
0.004,0.030,0.047
0.001,0.005,0.022
-0.003,-0.022,-0.017
-0.007,-0.031,-0.042
-0.008,-0.014,-0.033
-0.003,0.011,-0.002
0.004,0.023,0.025
0.009,0.013,0.027
0.009,-0.006,0.009
0.003,-0.018,-0.012
-0.002,-0.011,-0.018
-0.006,0.005,-0.009
-0.004,0.015,0.002
0.000,0.011,0.007
0.006,-0.001,0.004
0.011,-0.010,0.003
0.009,-0.007,0.010
0.002,0.004,0.020
-0.006,0.011,0.019
-0.012,0.005,0.000
-0.011,-0.007,-0.026
-0.004,-0.014,-0.041
0.005,-0.008,-0.029
0.009,0.008,0.002
0.008,0.021,0.035
0.001,0.018,0.044
-0.006,0.000,0.025
-0.009,-0.020,-0.005
-0.007,-0.026,-0.028
-0.000,-0.012,-0.029
0.004,0.012,-0.013
0.005,0.028,0.006
0.002,0.023,0.017
0.000,0.002,0.015
-0.000,-0.020,0.007
-0.000,-0.025,-0.000
-0.000,-0.011,-0.001
-0.002,0.008,-0.000
-0.004,0.018,-0.004
-0.001,0.008,-0.015
0.003,-0.010,-0.028
0.007,-0.019,-0.028
0.006,-0.007,-0.009
0.002,0.015,0.020
-0.002,0.031,0.038
-0.005,0.025,0.028
-0.005,0.000,-0.004
-0.004,-0.022,-0.034
-0.001,-0.025,-0.035
0.001,-0.007,-0.003
0.005,0.016,0.036
0.007,0.023,0.050
0.006,0.007,0.025
0.000,-0.018,-0.024
-0.007,-0.031,-0.062
-0.010,-0.019,-0.062
-0.006,0.010,-0.025
0.003,0.034,0.023
0.011,0.033,0.052
0.009,0.008,0.044
-0.001,-0.020,0.011
-0.014,-0.030,-0.020
-0.021,-0.016,-0.031
-0.012,0.005,-0.017
0.006,0.017,0.005
0.022,0.009,0.019
0.023,-0.008,0.017
0.007,-0.016,0.004
-0.012,-0.009,-0.007
-0.022,0.005,-0.012
-0.016,0.012,-0.014
0.000,0.005,-0.016
0.016,-0.007,-0.016
0.020,-0.010,-0.011
0.009,0.000,0.002
-0.006,0.014,0.014
-0.015,0.019,0.018
-0.010,0.011,0.009
0.002,-0.003,-0.002
0.012,-0.011,-0.004
0.011,-0.010,-0.000
0.000,-0.003,0.003
-0.009,0.003,-0.002
-0.008,0.004,-0.012
0.000,0.002,-0.015
0.007,0.000,-0.005
0.009,0.000,0.010
0.001,0.005,0.020
-0.007,0.007,0.018
-0.010,0.003,0.004
-0.006,-0.006,-0.011
0.002,-0.016,-0.018
0.010,-0.016,-0.013
0.011,-0.004,-0.001
0.004,0.014,0.011
-0.005,0.023,0.015
-0.011,0.018,0.008
-0.007,0.000,-0.004
0.001,-0.014,-0.012
0.007,-0.015,-0.009
0.004,-0.004,0.002
-0.003,0.008,0.011
-0.009,0.009,0.007
-0.009,-0.002,-0.006
-0.001,-0.013,-0.017
0.008,-0.013,-0.016
0.013,0.000,-0.004
0.009,0.018,0.010
0.001,0.020,0.015
-0.006,0.004,0.010
-0.010,-0.015,-0.000
-0.007,-0.019,-0.007
-0.000,-0.002,-0.004
0.005,0.020,0.004
0.008,0.029,0.011
0.007,0.014,0.008
0.004,-0.011,-0.002
-0.000,-0.026,-0.012
-0.004,-0.020,-0.013
-0.006,0.000,-0.007
-0.004,0.014,-0.000
-0.002,0.012,0.001
0.002,-0.002,-0.002
0.004,-0.012,-0.005
0.003,-0.009,-0.004
-0.000,0.004,0.002
-0.004,0.016,0.011
-0.005,0.016,0.018
-0.001,0.002,0.018
0.003,-0.013,0.010
0.005,-0.020,-0.004
0.003,-0.014,-0.017
-0.000,0.000,-0.020
-0.000,0.011,-0.008
0.002,0.011,0.007
0.004,0.000,0.012
0.001,-0.009,0.002
-0.004,-0.009,-0.013
-0.011,0.000,-0.022
-0.009,0.010,-0.014
0.000,0.007,0.002
0.013,-0.006,0.016
0.017,-0.020,0.016
0.009,-0.019,0.005
-0.006,-0.000,-0.007
-0.017,0.020,-0.016
-0.014,0.026,-0.016
0.000,0.011,-0.011
0.013,-0.011,-0.000
0.016,-0.021,0.009
0.005,-0.011,0.012
-0.009,0.010,0.009
-0.017,0.023,0.000
-0.011,0.014,-0.007
0.000,-0.007,-0.011
0.010,-0.023,-0.009
0.010,-0.017,-0.005
0.002,0.006,-0.000
-0.005,0.025,0.007
-0.007,0.022,0.012
-0.003,-0.001,0.010
0.002,-0.024,-0.002
0.004,-0.025,-0.015
0.002,-0.004,-0.021
0.000,0.020,-0.014
-0.000,0.028,-0.002
0.001,0.014,0.002
0.002,-0.009,-0.002
-0.000,-0.021,-0.009
-0.003,-0.016,-0.008
-0.004,-0.002,0.001
-0.001,0.006,0.012
0.002,0.004,0.015
0.002,-0.003,0.007
-0.000,-0.004,-0.005
-0.002,0.002,-0.013
-0.002,0.010,-0.011
0.000,0.008,0.000
0.001,-0.003,0.011
0.001,-0.018,0.011
0.001,-0.022,0.001
-0.000,-0.010,-0.012
-0.003,0.012,-0.017
-0.006,0.029,-0.007
-0.007,0.028,0.007
-0.002,0.009,0.014
0.005,-0.012,0.006
0.010,-0.024,-0.006
0.009,-0.020,-0.012
0.004,-0.004,-0.004
