SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
-0.017,0.021,0.000
-0.017,0.021,-0.021
-0.021,0.022,-0.028
-0.021,0.017,-0.024
-0.021,0.021,-0.026
-0.027,0.028,-0.018
-0.031,0.020,-0.013
-0.031,0.013,-0.009
-0.031,0.008,-0.002
-0.029,0.002,-0.001
-0.031,0.005,0.009
-0.030,0.003,0.025
-0.027,0.001,0.039
-0.028,0.001,0.052
-0.024,-0.000,0.063
-0.019,-0.000,0.069
-0.015,-0.004,0.069
-0.010,-0.002,0.064
-0.011,0.005,0.051
-0.013,0.003,0.024
-0.009,-0.001,-0.010
-0.010,-0.002,-0.052
-0.013,-0.003,-0.094
-0.010,-0.002,-0.137
-0.015,-0.003,-0.176
-0.017,-0.004,-0.211
-0.022,-0.007,-0.248
-0.019,-0.014,-0.276
-0.012,-0.019,-0.292
-0.016,-0.024,-0.294
-0.020,-0.028,-0.278
-0.030,-0.027,-0.259
-0.034,-0.025,-0.237
-0.029,-0.024,-0.212
-0.029,-0.033,-0.183
-0.031,-0.036,-0.142
-0.031,-0.036,-0.083
-0.025,-0.036,-0.010
-0.020,-0.025,0.077
-0.014,-0.023,0.173
-0.007,-0.021,0.265
0.001,-0.020,0.350
0.009,-0.022,0.408
0.010,-0.017,0.439
0.012,-0.012,0.443
0.013,-0.001,0.397
0.010,0.001,0.327
0.011,-0.000,0.251
0.013,0.003,0.180
0.011,0.010,0.127
0.011,0.016,0.087
0.012,0.013,0.058
0.011,0.009,0.039
0.010,0.003,0.022
0.007,-0.001,0.018
0.008,-0.003,0.022
0.005,-0.005,0.013
-0.007,-0.004,-0.011
-0.013,0.002,-0.049
-0.012,0.004,-0.107
-0.010,0.005,-0.167
-0.003,0.010,-0.225
-0.003,0.007,-0.290
-0.005,0.006,-0.367
-0.002,0.004,-0.451
-0.000,-0.005,-0.509
0.000,-0.011,-0.519
-0.001,-0.013,-0.466
-0.005,-0.012,-0.350
-0.008,-0.006,-0.198
-0.011,0.000,-0.034
-0.013,0.002,0.119
-0.008,0.004,0.220
-0.001,0.001,0.255
0.003,-0.004,0.240
0.007,0.001,0.204
0.010,0.009,0.189
0.008,0.019,0.215
0.005,0.023,0.272
0.010,0.024,0.320
0.010,0.023,0.309
0.010,0.013,0.215
0.009,-0.002,0.029
-0.003,-0.013,-0.232
-0.011,-0.017,-0.523
-0.024,-0.008,-0.778
-0.037,0.018,-0.928
-0.041,0.038,-0.936
-0.041,0.042,-0.797
-0.032,0.031,-0.536
-0.022,0.006,-0.183
-0.012,-0.021,0.236
0.001,-0.042,0.686
0.001,-0.053,1.127
0.001,-0.043,1.503
0.009,-0.015,1.774
0.011,0.020,1.918
0.019,0.067,1.914
0.038,0.100,1.758
0.066,0.098,1.475
0.105,0.088,1.101
0.135,0.078,0.686
0.150,0.063,0.251
0.145,0.056,-0.198
0.134,0.060,-0.654
0.127,0.054,-1.082
0.108,0.046,-1.434
0.079,0.036,-1.709
0.053,0.021,-1.935
0.028,0.018,-2.098
0.009,0.018,-2.158
-0.004,0.014,-2.079
-0.008,-0.004,-1.860
0.000,-0.038,-1.537
0.005,-0.053,-1.164
-0.002,-0.046,-0.800
-0.004,-0.039,-0.456
-0.003,-0.043,-0.132
0.007,-0.062,0.175
0.031,-0.079,0.473
0.041,-0.078,0.735
0.048,-0.061,0.959
0.046,-0.029,1.132
0.043,-0.003,1.223
0.057,0.001,1.211
0.069,0.007,1.091
0.084,0.024,0.894
0.085,0.052,0.651
0.079,0.080,0.429
0.072,0.084,0.256
0.063,0.074,0.134
0.057,0.055,0.058
0.036,0.041,-0.007
0.011,0.041,-0.055
-0.020,0.047,-0.103
-0.039,0.050,-0.156
-0.044,0.047,-0.212
-0.048,0.051,-0.268
-0.049,0.055,-0.312
-0.048,0.062,-0.346
-0.038,0.059,-0.353
-0.028,0.049,-0.363
-0.006,0.036,-0.401
0.018,0.025,-0.456
