SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
0.036,0.061,0.022
0.029,0.060,0.022
0.011,0.024,0.006
-0.007,-0.027,-0.011
-0.012,-0.065,-0.007
-0.005,-0.070,0.016
0.004,-0.036,0.030
0.011,0.017,0.019
0.019,0.059,0.002
0.025,0.065,0.001
0.020,0.032,0.012
-0.000,-0.014,0.016
-0.019,-0.040,0.007
-0.015,-0.029,0.002
0.013,0.005,0.006
0.046,0.032,0.011
0.059,0.028,0.008
0.047,-0.001,0.004
0.022,-0.029,0.004
-0.004,-0.037,0.005
-0.021,-0.023,0.002
-0.016,0.002,-0.002
0.011,0.027,0.004
0.047,0.039,0.016
0.068,0.028,0.021
0.057,-0.004,0.009
0.019,-0.037,-0.010
-0.024,-0.044,-0.018
-0.050,-0.024,-0.010
-0.043,0.004,0.005
-0.004,0.019,0.013
0.043,0.019,0.008
0.069,0.014,-0.002
0.057,0.010,-0.010
0.022,0.008,-0.010
-0.007,0.007,-0.002
-0.009,0.007,0.012
0.009,0.000,0.023
0.026,-0.019,0.018
0.028,-0.041,-0.005
0.020,-0.043,-0.024
0.012,-0.014,-0.019
0.010,0.022,0.006
0.009,0.031,0.021
0.009,-0.001,0.012
0.012,-0.047,-0.004
0.018,-0.068,-0.010
0.022,-0.048,-0.010
0.019,-0.006,-0.014
0.009,0.030,-0.013
-0.001,0.037,0.002
-0.005,0.018,0.019
-0.006,-0.013,0.013
-0.009,-0.034,-0.009
-0.017,-0.032,-0.015
-0.022,-0.010,0.008
-0.015,0.013,0.028
0.004,0.013,0.014
0.020,-0.012,-0.013
0.017,-0.040,-0.016
-0.005,-0.042,0.007
-0.028,-0.013,0.022
-0.032,0.021,0.008
-0.013,0.028,-0.012
0.011,0.005,-0.009
0.021,-0.028,0.009
0.012,-0.043,0.012
-0.007,-0.032,-0.003
-0.022,-0.004,-0.008
-0.021,0.024,0.013
-0.006,0.035,0.038
0.013,0.017,0.034
0.020,-0.027,0.003
0.012,-0.075,-0.017
0.001,-0.094,-0.007
-0.004,-0.064,0.017
0.000,-0.004,0.026
0.008,0.046,0.017
0.015,0.051,0.009
0.019,0.023,0.008
0.014,0.001,0.006
-0.002,0.015,-0.001
-0.023,0.053,-0.000
-0.032,0.069,0.012
-0.018,0.035,0.018
0.010,-0.035,0.005
0.030,-0.092,-0.011
0.026,-0.098,-0.009
-0.001,-0.054,0.009
-0.031,0.008,0.018
-0.039,0.054,0.011
-0.014,0.061,0.003
0.027,0.026,0.004
0.050,-0.035,0.006
0.029,-0.081,-0.002
-0.023,-0.073,-0.008
-0.064,-0.009,-0.001
-0.060,0.057,0.013
-0.009,0.069,0.019
0.054,0.025,0.015
0.086,-0.024,0.010
0.065,-0.031,0.007
0.008,-0.005,-0.002
-0.044,0.017,-0.017
-0.057,0.017,-0.023
-0.030,0.007,-0.009
0.006,0.000,0.012
0.019,-0.004,0.020
0.007,-0.006,0.009
-0.005,0.005,-0.004
-0.002,0.027,-0.006
0.008,0.040,-0.001
0.010,0.031,0.001
0.004,0.012,-0.002
-0.000,0.004,-0.003
-0.001,0.009,0.002
-0.006,0.010,0.008
-0.016,-0.004,0.005
-0.019,-0.025,-0.009
-0.004,-0.037,-0.021
0.016,-0.028,-0.019
0.019,0.005,0.003
0.004,0.045,0.023
-0.007,0.062,0.021
0.005,0.035,-0.005
0.030,-0.015,-0.025
0.036,-0.036,-0.019
0.009,0.001,0.003
-0.029,0.063,0.010
-0.044,0.092,-0.006
-0.021,0.059,-0.019
0.018,-0.007,-0.013
0.037,-0.057,-0.003
0.021,-0.064,-0.010
-0.008,-0.032,-0.019
-0.017,0.009,-0.004
0.005,0.032,0.025
0.035,0.022,0.029
