SITE CODE= 47600—Ö“‡Žs–PŽŠ’¬            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  6.59, 11.21
 LAT.=   37.3912
 LON.=  136.8952
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 00
 NS,EW,UD
0.041,0.033,0.012
0.035,0.029,0.009
0.027,0.026,0.010
0.020,0.026,0.014
0.015,0.029,0.017
0.012,0.032,0.015
0.009,0.032,0.009
0.005,0.028,0.005
-0.001,0.025,0.005
-0.008,0.023,0.007
-0.014,0.023,0.007
-0.021,0.023,0.005
-0.027,0.022,0.002
-0.034,0.020,-0.002
-0.040,0.018,-0.003
-0.045,0.018,-0.003
-0.046,0.020,-0.003
-0.047,0.023,-0.004
-0.048,0.024,-0.005
-0.050,0.021,-0.006
-0.051,0.018,-0.005
-0.051,0.014,-0.002
-0.049,0.012,0.003
-0.044,0.012,0.007
-0.040,0.011,0.006
-0.036,0.009,0.002
-0.032,0.005,-0.003
-0.030,0.001,-0.004
-0.030,-0.002,0.000
-0.029,-0.003,0.007
-0.027,-0.005,0.011
-0.024,-0.007,0.008
-0.020,-0.011,0.002
-0.018,-0.014,-0.002
-0.016,-0.016,0.000
-0.016,-0.016,0.005
-0.016,-0.014,0.008
-0.014,-0.014,0.008
-0.014,-0.016,0.004
-0.014,-0.020,0.000
-0.014,-0.023,-0.001
-0.014,-0.023,0.000
-0.012,-0.023,0.002
-0.009,-0.023,0.004
-0.005,-0.026,0.004
-0.005,-0.031,0.003
-0.005,-0.036,0.001
-0.006,-0.041,0.001
-0.006,-0.045,0.004
-0.005,-0.049,0.008
-0.003,-0.052,0.008
-0.000,-0.056,0.004
0.002,-0.059,-0.003
0.004,-0.061,-0.007
0.006,-0.062,-0.004
0.010,-0.060,0.002
0.014,-0.056,0.006
0.018,-0.053,0.007
0.020,-0.052,0.006
0.020,-0.053,0.005
0.019,-0.054,0.008
0.020,-0.052,0.011
0.022,-0.045,0.012
0.021,-0.040,0.011
0.018,-0.037,0.007
0.014,-0.037,0.003
0.012,-0.036,0.002
0.015,-0.031,0.005
0.018,-0.025,0.009
0.018,-0.023,0.012
0.014,-0.026,0.012
0.009,-0.030,0.012
0.006,-0.031,0.013
0.005,-0.025,0.016
0.004,-0.017,0.018
0.001,-0.009,0.019
-0.005,-0.005,0.017
-0.013,-0.003,0.016
-0.022,-0.002,0.016
-0.029,-0.000,0.019
-0.032,0.003,0.025
-0.033,0.005,0.032
-0.032,0.005,0.036
-0.032,0.002,0.036
-0.033,-0.004,0.034
-0.035,-0.009,0.032
-0.037,-0.011,0.031
-0.038,-0.012,0.032
-0.040,-0.013,0.032
-0.042,-0.016,0.030
-0.045,-0.021,0.029
-0.046,-0.024,0.028
-0.046,-0.023,0.027
-0.045,-0.022,0.023
-0.045,-0.022,0.018
-0.045,-0.024,0.014
-0.046,-0.025,0.012
-0.047,-0.024,0.012
-0.048,-0.019,0.014
-0.048,-0.013,0.016
-0.046,-0.007,0.016
-0.045,-0.004,0.012
-0.042,-0.002,0.007
-0.042,-0.001,0.002
-0.044,0.000,0.002
-0.046,0.001,0.007
-0.047,0.002,0.012
-0.047,0.002,0.014
-0.045,0.000,0.011
-0.044,-0.003,0.005
-0.041,-0.006,0.003
-0.039,-0.009,0.005
-0.036,-0.011,0.009
-0.032,-0.011,0.012
-0.031,-0.014,0.011
-0.031,-0.019,0.007
-0.032,-0.026,0.002
-0.032,-0.031,-0.003
-0.030,-0.032,-0.003
-0.030,-0.029,0.000
-0.031,-0.023,0.005
-0.034,-0.019,0.007
-0.036,-0.017,0.005
-0.036,-0.017,0.003
-0.035,-0.018,0.004
